"provincia","year","total","varones","mujeres"
"Santa Fe",2020,"3536418","1723202","1813216"
"Santa Fe",2021,"3563390","1736949","1826441"
"Santa Fe",2022,"3589999","1750516","1839483"
"Santa Fe",2023,"3616227","1763893","1852334"
"Santa Fe",2024,"3642063","1777073","1864990"
"Santa Fe",2025,"3667505","1790055","1877450"
"Santa Fe",2026,"3692543","1802832","1889711"
"Santa Fe",2027,"3717160","1815397","1901763"
"Santa Fe",2028,"3741348","1827746","1913602"
"Santa Fe",2029,"3765111","1839880","1925231"
"Santa Fe",2030,"3788453","1851803","1936650"
"Santa Fe",2031,"3811368","1863513","1947855"
"Santa Fe",2032,"3833857","1875010","1958847"
"Santa Fe",2033,"3855933","1886302","1969631"
"Santa Fe",2034,"3877606","1897394","1980212"
"Santa Fe",2035,"3898888","1908293","1990595"
"Santa Fe",2036,"3919780","1919000","2000780"
"Santa Fe",2037,"3940283","1929517","2010766"
"Santa Fe",2038,"3960409","1939849","2020560"
"Santa Fe",2039,"3980166","1950001","2030165"
"Santa Fe",2040,"3999563","1959977","2039586"
"Santiago del Estero",2010,"879246","438380","440866"
"Santiago del Estero",2011,"888809","443034","445775"
"Santiago del Estero",2012,"898484","447753","450731"
"Santiago del Estero",2013,"908268","452534","455734"
"Santiago del Estero",2014,"918147","457369","460778"
"Santiago del Estero",2015,"928097","462244","465853"
"Santiago del Estero",2016,"938109","467154","470955"
"Santiago del Estero",2017,"948172","472093","476079"
"Santiago del Estero",2018,"958251","477042","481209"
"Santiago del Estero",2019,"968309","481983","486326"
"Santiago del Estero",2020,"978313","486897","491416"
"Santiago del Estero",2021,"988245","491775","496470"
"Santiago del Estero",2022,"998093","496611","501482"
"Santiago del Estero",2023,"1007830","501391","506439"
"Santiago del Estero",2024,"1017428","506101","511327"
"Santiago del Estero",2025,"1026866","510729","516137"
"Santiago del Estero",2026,"1036139","515273","520866"
"Santiago del Estero",2027,"1045247","519733","525514"
"Santiago del Estero",2028,"1054179","524104","530075"
"Santiago del Estero",2029,"1062924","528380","534544"
"Santiago del Estero",2030,"1071469","532554","538915"
"Santiago del Estero",2031,"1079809","536624","543185"
"Santiago del Estero",2032,"1087938","540587","547351"
"Santiago del Estero",2033,"1095850","544439","551411"
"Santiago del Estero",2034,"1103532","548175","555357"
"Santiago del Estero",2035,"1110978","551792","559186"
"Santiago del Estero",2036,"1118189","555290","562899"
"Santiago del Estero",2037,"1125165","558670","566495"
"Santiago del Estero",2038,"1131905","561932","569973"
"Santiago del Estero",2039,"1138412","565078","573334"
"Santiago del Estero",2040,"1144686","568107","576579"
"Tucumán",2010,"1489225","733744","755481"
"Tucumán",2011,"1509932","744127","765805"
"Tucumán",2012,"1530689","754541","776148"
"Tucumán",2013,"1551460","764968","786492"
"Tucumán",2014,"1572205","775385","796820"
"Tucumán",2015,"1592878","785767","807111"
"Tucumán",2016,"1613476","796112","817364"
"Tucumán",2017,"1633992","806416","827576"
"Tucumán",2018,"1654388","816658","837730"
"Tucumán",2019,"1674622","826817","847805"
"Tucumán",2020,"1694656","836871","857785"
"Tucumán",2021,"1714487","846819","867668"
"Tucumán",2022,"1734118","856662","877456"
"Tucumán",2023,"1753523","866387","887136"
"Tucumán",2024,"1772680","875982","896698"
"Tucumán",2025,"1791571","885438","906133"
"Tucumán",2026,"1810210","894762","915448"
"Tucumán",2027,"1828610","903961","924649"
"Tucumán",2028,"1846761","913032","933729"
"Tucumán",2029,"1864652","921969","942683"
"Tucumán",2030,"1882275","930769","951506"
"Tucumán",2031,"1899633","939434","960199"
"Tucumán",2032,"1916730","947968","968762"
"Tucumán",2033,"1933560","956368","977192"
"Tucumán",2034,"1950114","964630","985484"
"Tucumán",2035,"1966384","972751","993633"
"Tucumán",2036,"1982373","980734","1001639"
"Tucumán",2037,"1998086","988581","1009505"
"Tucumán",2038,"2013520","996292","1017228"
"Tucumán",2039,"2028678","1003868","1024810"
"Tucumán",2040,"2043560","1011310","1032250"
"Tierra del Fuego",2010,"131661","67235","64426"
"Tierra del Fuego",2011,"135742","69310","66432"
"Tierra del Fuego",2012,"139852","71398","68454"
"Tierra del Fuego",2013,"143987","73498","70489"
"Tierra del Fuego",2014,"148143","75608","72535"
"Tierra del Fuego",2015,"152317","77725","74592"
"Tierra del Fuego",2016,"156509","79850","76659"
"Tierra del Fuego",2017,"160720","81983","78737"
"Tierra del Fuego",2018,"164944","84121","80823"
"Tierra del Fuego",2019,"169183","86265","82918"
"Tierra del Fuego",2020,"173432","88412","85020"
"Tierra del Fuego",2021,"177697","90565","87132"
"Tierra del Fuego",2022,"181983","92727","89256"
"Tierra del Fuego",2023,"186285","94895","91390"
"Tierra del Fuego",2024,"190601","97068","93533"
"Tierra del Fuego",2025,"194926","99244","95682"
"Tierra del Fuego",2026,"199248","101416","97832"
"Tierra del Fuego",2027,"203558","103580","99978"
"Tierra del Fuego",2028,"207851","105732","102119"
"Tierra del Fuego",2029,"212126","107872","104254"
"Tierra del Fuego",2030,"216380","110000","106380"
"Tierra del Fuego",2031,"220617","112117","108500"
"Tierra del Fuego",2032,"224843","114226","110617"
"Tierra del Fuego",2033,"229055","116326","112729"
"Tierra del Fuego",2034,"233252","118417","114835"
"Tierra del Fuego",2035,"237433","120498","116935"
"Tierra del Fuego",2036,"241593","122567","119026"
"Tierra del Fuego",2037,"245734","124625","121109"
"Tierra del Fuego",2038,"249853","126670","123183"
"Tierra del Fuego",2039,"253948","128702","125246"
"Tierra del Fuego",2040,"258020","130721","127299"
